5	1	1	0.1	0.4404	0.1998	0.4532	0.35681	0.3257	0.3973	2.3074	2.9297
5	1	1	1	0.4052	0.15669	0.4052	0.30893	0.29007	0.36225	2.3007	2.1995
5	1	1	10	0.4156	0.16762	0.4168	0.31869	0.30721	0.33106	2.3102	2.2
5	1	1	100	0.5004	0.20472	0.5004	0.34027	0.33205	0.35697	2.315	2.3034
5	1	1	1000	0.4004	0.14051	0.4064	0.31177	0.27719	0.44575	2.2263	2.4403
5	1	1	10000	0.2896	0.07252	0.3088	0.31166	0.21383	0.58999	1.7426	2.3488
5	1	1	1e+05	0.2824	0.070155	0.298	0.33267	0.21165	0.99602	1.5717	2.2839
10	1	1	0.1	0.4796	0.25908	0.4832	0.36482	0.35856	0.38313	2.3052	2.317
10	1	1	1	0.442	0.22909	0.4524	0.36531	0.35289	0.40378	2.2864	2.3813
10	1	1	10	0.4692	0.19694	0.4692	0.33058	0.31792	0.36408	2.2911	2.4396
10	1	1	100	0.4628	0.22324	0.4792	0.35	0.34389	0.37186	2.3197	2.3661
10	1	1	1000	0.3988	0.11612	0.3988	0.29003	0.26692	0.39904	2.2848	2.2953
10	1	1	10000	0.336	0.084365	0.34	0.29863	0.22764	0.45507	1.9179	2.3662
10	1	1	1e+05	0.31	0.0731	0.3184	0.33247	0.21876	0.99211	1.69	2.3311
15	1	1	0.1	0.5024	0.26954	0.5024	0.38707	0.37004	0.42333	2.2927	2.4127
15	1	1	1	0.4372	0.21976	0.4428	0.33475	0.31355	0.40245	2.3115	2.3842
15	1	1	10	0.4568	0.20556	0.4632	0.33704	0.31802	0.36205	2.3072	2.4796
15	1	1	100	0.4656	0.22286	0.4752	0.3491	0.34251	0.37313	2.3185	2.5368
15	1	1	1000	0.3716	0.096064	0.3716	0.28484	0.2541	0.40523	2.2891	2.3812
15	1	1	10000	0.3612	0.093992	0.3672	0.29983	0.23873	0.44875	2.002	2.3711
15	1	1	1e+05	0.3188	0.073033	0.3248	0.33229	0.22493	0.98827	1.7418	2.3289
5	1	1	0.1	0.4404	0.1998	0.4532	0.35681	0.3257	0.3973	2.3074	2.3486
5	1	1	1	0.4052	0.15669	0.4052	0.30893	0.29007	0.36225	2.3007	2.2105
5	1	1	0.1	0.4404	0.1998	0.4532	0.35681	0.3257	0.3973	2.3074	2.3431
5	1	1	1	0.4052	0.15669	0.4052	0.30893	0.29007	0.36225	2.3007	2.1553
5	1	1	0.1	0.4404	0.1998	0.4532	0.35681	0.3257	0.3973	2.3074	2.3223
5	1	1	1	0.4052	0.15669	0.4052	0.30893	0.29007	0.36225	2.3007	2.2197
5	1	1	10	0.4156	0.16762	0.4168	0.31869	0.30721	0.33106	2.3102	2.2492
5	1	1	100	0.5004	0.20472	0.5004	0.34027	0.33205	0.35697	2.315	2.2831
